Year,Arist,Album
1977,Thudpucker, Jimmy,"The greatest hits"
1977,Clarck, Michael,"Free as a breeze"
1977,Boylan, Terence ,"Terence Boylan"
1977,Dal Bello, Lisa ,"Lisa Dal Bello"
1977,Kisugi, Takao ,"Zigu zagu"
1977,Peck, Danny ,"Heart and soul"
1977,Ross, Diana,"Baby it's me"
1977,Scaggs, Boz,"Down two then left"
1978,Tan Tan,"Trying to get to you"
1978,Toto,"Toto"
1978,Wells, Cory,"Ahead of the storm"
1978,Wells, Cory,"Touch me"
1978,Streisand, Barbra ,"Songbird"
1978,Steve T.,"West Coast confidential"
1978,Soundtrack,"What have you done for love"
1978,Sharretts, The,"You turn me around"
1978,Sayer, Leo,"Leo Sayer"
1978,Sager, Carol Bayer ,"Too"
1978,Reddy, Helen ,"We'll sing in the sunshine"
1978,Pockets,"Take it on up"
1978,Omura, Kenji ,"Kenji shock"
1978,Nolan, Kenny ,"Song between us"
1978,Newton-John, Olivia ,"Totally hot"
1978,Newton, Juice ,"Well kept secret"
1978,McClusky, David ,"A long time coming"
1978,Mathis, J. & Deniece Williams ,"That's what friends are for"
1978,Lynn, Cheryl ,"Cheryl Lynn"
1978,Ladd, Cheryl ,"Cheryl Ladd"
1978,Kiss,"Peter Criss"
1978,Jordan, Marc ,"Mannequin"
1978,Jabara, Paul ,"Keeping time"
1978,Hodges, James & Smith ,"What have you done for love"
1978,Hall & Oates,"Along the red ledge"
1978,Gardestad, Ted ,"Blue virgin isle"
1978,Fuller, Craig & Eric Kaz ,"Fuller/Kaz"
1978,Donohue, Dane ,"Dane Donohue"
1978,Dal Bello, Lisa ,"Pretty girls"
1978,Criss, Pete ,"Peter Criss"
1978,Cooper, Alice,"From the inside"
1978,Cliff, Jimmy ,"Give thanks"
1978,Champlin, Bill,"Single"
1978,Carter, Valerie ,"Wild child"
1978,Cadd, Brian ,"Yesterday dreams"
1979,Wright, Gary ,"Heading home"
1979,Toto,"Hydra"
1979,Wood, Lauren,"Lauren Wood"
1979,Wilson Brothers ,"Another night"
1979,Williams, Deniece ,"When love comes calling"
1979,Trooper,"Flying colors"
1979,Tanner, Marc ,"No escape"
1979,Streisand, Barbra ,"Wet"
1979,Soundtrack,"Fast company"
1979,Scaggs, Boz,"Hits"
1979,Sayer, Leo,"Here"
1979,Sands, Evie ,"Suspended animation"
1979,Ritenour, Lee,"Feel the night"
1979,Patton, Robbie ,"Do you wanna tonight"
1979,Noguchi, Goro ,"Last joke"
1979,Mitchell, Adam ,"Readhead in trouble"
1979,McIan, Peter ,"Playing near the edge"
1979,Mayall, John ,"Bottom line"
1979,Mason, Harvey ,"Groovin' you"
1979,Manhatten Transfer, The ,"Extensions"
1979,Ladd, Cheryl ,"Dance forever"
1979,Kunkel, Leah ,"Leah Kunkel"
1979,Kipner, Steve ,"Knock the walls down"
1979,Jordan, Marc ,"Blue desert"
1979,John, Elton,"Victim of love"
1979,Goffin, Louise ,"Kid blue"
1979,Gil, Gilberto ,"Realce"
1979,Evans, Linda ,"You control me"
1979,England, Dan & J.F. Coley ,"Dr. Heckle & Mr. Jive"
1979,Edelman, Randy ,"You're the one"
1979,Eaton, Steve ,"Steve Eaton"
1979,Earth, Wind & Fire ,"I am"
1979,Dee, Kiki ,"Stay with me"
1979,Currie, Cherie & Marie ,"Messin' with the boys"
1979,Cher,"Take me home"
1979,Cheap Trick,"Dream police"
1979,Cerrone,"Angelina"
1979,Brooklyn Dreams ,"Joyride"
1979,Bishop & Gwinn ,"This is our night"
1980,Triumvirat,"Russian roulette"
1980,Tavares,"Supercharged"
1980,Taupin, Bernie,"He who rides the tiger"
1980,Takeuchi, Mariya ,"Miss M"
1980,Syreeta,"Syreeta"
1980,Summer, Donna,"The wanderer"
1980,St. Nicklaus, Dick ,"Sweet & dandy"
1980,Soundtrack,"Cheech & Chong's next movie"
1980,Soundtrack,"Urban cowboy"
1980,Seals, Dan,"Stones"
1980,Sciuto, Tony ,"Island nights"
1980,Scaggs, Boz,"Middle man"
1980,Okumoto, Ryo,"Makin' rock"
1980,Nash, Graham ,"Earth and sky"
1980,MacGregor, Mary ,"Mary MacGregor"
1980,Kunkel, Leah ,"I run with trouble"
1980,Kennedy, Ray,"Ray Kennedy"
1980,John, Elton,"21 at 33"
1980,Hamada, Shogo ,"Home bound"
1980,Grimaldi & Zeiher ,"Recidive"
1980,Franklin, Aretha ,"Aretha"
1980,Farina, Sandy ,"All alone in the night"
1980,Earth, Wind & Fire ,"Faces"
1980,Desario, Teri ,"Caught"
1980,Criss, Pete ,"Out of control"
1980,Cher,"Prisoner"
1980,Carmen, Eric ,"Tonight you're mine"
1980,Berger, Michael ,"Beausejour"
1980,Austin, Patti ,"Every home should have one"
1980,America,"Alibi"
1980,Allen, Peter ,"Bi-coastal"
1980,Airplay,"Airplay"
1981,Kane, Madleen,"Don't wanna loose you"
1981,Toto,"Turn back"
1981,Sugano, Anri ,"Showcase"
1981,Soundtrack (Jerry Goldsmith),"Omen 3: The final conflict"
1981,Soundtrack,"In harmony"
1981,Sorrenti, Alan,"Sorrenti"
1981,Sciuto, Tony ,"Be my radio"
1981,Sager, Carol Bayer ,"Sometimes late at night"
1981,Russell, Brenda ,"Love life"
1981,Preston, Billy ,"The way I am"
1981,Pages,"Pages"
1981,Ozaki, Ami ,"Hot baby"
1981,Nitty Gritty Dirt Band ,"Jealousy"
1981,Newton-John, Olivia ,"Physical"
1981,Matsui, Kazu ,"Time no longer"
1981,Marian,"Marginal love"
1981,Manhatten Transfer, The ,"Mecca for moderns"
1981,Leslie, Kelly & John Ford Coley ,"Kelly Leslie & John Ford Coley"
1981,Lake, Gregg,"Greg Lake"
1981,Kobayashi, Katsumi ,"Guitar technic of Steve Lukather"
1981,Jürgens, Udo ,"Leave a little love"
1981,Jones, Rickie Lee ,"Pirates"
1981,Jones, Quincy ,"The dude"
1981,John, Elton,"The fox"
1981,Jarreau, Al,"Breakin' away"
1981,Franklin, Aretha ,"Love all the hurt away"
1981,Frampton, Peter ,"Breaking all the rules"
1981,Forsey, Keith ,"Dynamite"
1981,Essex, David,"Be Bop the future"
1981,Dore, Charlie ,"Listen"
1981,Dash, Sarah ,"Close enough"
1981,Cummings, Burton ,"Sweet sweet"
1981,Crawford, Randy ,"Secret combination"
1981,Claudia,"Claudia"
1981,Char,"USJ"
1981,Champlin, Bill,"Runaway"
1981,Cetera, Peter ,"Peter Cetera"
1981,Byrne & Barnes ,"An eye for an eye"
1981,Brothers Johnson, The ,"Winners"
1981,Bertucci, Anne ,"Ann Bertucci"
1981,Berger, Michael ,"Dreams in stone"
1981,Benson, George ,"The George Benson collection"
1981,Alpert, Herb,"Magic man"
1982,Toto,"IV"
1982,Zevon, Warren ,"Envoy"
1982,Young, Jesse Colin ,"The perfect stranger"
1982,Yazawa, Eikichi ,"PM 9"
1982,Yazawa, Eikichi ,"It's just rock and roll"
1982,Woods, Stevie,"Take me to your heaven"
1982,Williams, Joseph ,"Joseph Williams"
1982,Webb, Jimmy ,"Angel heart"
1982,Watts, Ernie ,"Chariots of fire"
1982,Warwick, Dionne ,"Friends in love"
1982,Ware, Leon,"Leon Ware"
1982,Tubes, The,"Completion backward principle"
1982,Summer, Donna,"Donna Summer"
